# energy [hartree]:-73.8396768405
# iterations before stopping: 18
#Runtime settings
#number of atoms: 40
#electronic configuration: [2 2 1 1]
#wiegner seitz radious: 3.93
#R_c: 13.440410940878838
#beta: 0.25

#r	rho	potential
12.66	0.00228021675385	-0.243653414154
12.68	0.00225440512961	-0.242795063143
12.7	0.00222866095029	-0.241924374272
12.72	0.00220298895085	-0.241041325224
12.74	0.0021773938039	-0.240145895075
12.76	0.00215188011779	-0.239238064299
12.78	0.0021264524348	-0.238317814768
12.8	0.00210111522935	-0.237385129761
12.82	0.00207587290631	-0.236439993965
12.84	0.00205072979929	-0.235482393478
12.86	0.00202569016912	-0.234512315811
12.88	0.00200075820229	-0.233529749891
12.9	0.00197593800945	-0.232534686064
12.92	0.00195123362408	-0.23152711609
12.94	0.00192664900108	-0.230507033151
12.96	0.00190218801555	-0.229474431845
12.98	0.00187785446157	-0.22842930819
13.0	0.00185365205103	-0.22737165962
13.02	0.0018295844126	-0.226301484984
13.04	0.00180565509069	-0.225218784548
13.06	0.00178186754455	-0.224123559986
13.08	0.00175822514732	-0.223015814382
13.1	0.00173473118533	-0.221895552227
13.12	0.00171138885726	-0.220762779412
13.14	0.00168820127353	-0.219617503228
13.16	0.00166517145569	-0.218459732357
13.18	0.00164230233587	-0.217289476871
13.2	0.00161959675629	-0.216106748225
